state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
17100	0.008	0.594	0.008	1	2	12.412	0.024	3.867	27.54	-1137.50	0.00	0.11
17200	0.010	0.602	0.010	1	2	11.511	0.024	3.867	26.60	-1137.50	-0.42	0.00
17300	0.008	0.602	0.008	1	2	22.681	0.024	4.039	26.58	-1137.53	0.00	0.00
17400	0.010	0.485	0.010	1	3	26.191	0.015	4.039	23.46	-1137.97	-0.02	0.00
17500	0.008	0.152	0.008	1	3	19.018	0.015	4.039	23.96	-1137.94	0.00	0.00
17600	0.006	0.132	0.006	1	2	15.821	0.022	3.908	25.92	-1137.51	0.00	0.00
17700	0.007	0.238	0.007	1	2	18.230	0.021	3.908	25.96	-1137.51	0.00	0.00
17800	0.010	0.228	0.010	1	3	29.453	0.021	3.908	21.41	-1137.98	0.00	0.00
17900	0.008	0.319	0.008	1	2	56.362	0.030	3.908	24.77	-1137.63	0.00	-7.75
18000	0.008	0.330	0.008	1	2	40.859	0.030	3.908	25.03	-1137.58	-0.00	0.00
18100	0.007	0.330	0.007	1	2	40.677	0.030	4.024	24.22	-1137.58	0.00	0.00
18200	0.007	0.095	0.007	1	2	28.568	0.019	4.024	26.63	-1137.55	-0.00	0.00
18300	0.010	0.125	0.010	1	2	34.936	0.008	4.024	26.08	-1137.56	0.73	0.00
18400	0.009	0.177	0.009	1	2	26.886	0.007	3.896	27.74	-1137.54	0.00	0.00
18500	0.007	0.146	0.007	1	3	15.202	0.007	3.896	23.71	-1137.93	0.00	0.00
18600	0.009	0.123	0.009	1	2	30.484	0.007	3.896	21.08	-1137.55	0.00	-7.65
18700	0.013	0.174	0.013	1	2	29.848	0.007	3.896	21.11	-1137.55	0.00	0.00
18800	0.012	0.098	0.012	1	1	14.881	0.011	3.896	16.60	-1136.80	0.01	-0.18
18900	0.010	0.125	0.010	1	1	5.647	0.011	3.896	17.25	-1136.78	0.00	-7.49
19000	0.011	0.160	0.011	1	2	8.412	0.010	3.815	16.03	-1137.49	0.00	-7.52
19100	0.012	0.243	0.012	1	2	15.153	0.016	3.815	15.77	-1137.51	-0.00	-0.69
19200	0.010	0.258	0.010	1	2	15.177	0.012	3.815	14.15	-1137.51	-0.00	-0.69
19300	0.013	0.091	0.013	1	1	21.915	0.018	3.815	14.82	-1136.81	-0.01	0.00
19400	0.012	0.100	0.012	1	0	0.000	0.022	4.166	11.85	-1135.73	-0.04	0.00
19500	0.016	0.393	0.016	1	0	0.000	0.019	4.166	12.13	-1135.73	0.00	-7.02
19600	0.019	0.660	0.019	1	0	0.000	0.021	4.166	10.72	-1135.73	-0.00	0.00
19700	0.013	0.550	0.013	1	0	0.000	0.018	4.166	12.10	-1135.73	0.00	-7.26
19800	0.019	1.303	0.019	1	0	0.000	0.016	4.166	9.99	-1135.73	0.00	-6.85
19900	0.012	1.360	0.012	1	0	0.000	0.016	3.962	11.58	-1135.73	-0.00	-0.69
20000	0.017	2.041	0.017	1	0	0.000	0.016	3.962	11.78	-1135.73	-0.02	0.00
20100	0.014	2.735	0.014	1	0	0.000	0.012	3.821	9.45	-1135.73	0.00	7.96
20200	0.017	1.792	0.017	1	0	0.000	0.012	4.024	12.17	-1135.73	0.00	0.00
20300	0.010	1.372	0.010	1	0	0.000	0.014	4.070	10.69	-1135.73	-0.01	0.00
20400	0.012	1.377	0.012	1	0	0.000	0.020	4.104	11.80	-1135.73	-0.00	-0.69
20500	0.015	1.568	0.015	1	0	0.000	0.020	4.104	12.44	-1135.73	0.00	-7.06
20600	0.013	1.256	0.013	1	0	0.000	0.026	4.094	12.08	-1135.73	0.00	-7.23
20700	0.016	0.915	0.016	1	0	0.000	0.033	4.094	11.89	-1135.73	0.00	-6.99
20800	0.010	0.915	0.010	1	2	9.325	0.039	4.094	14.57	-1137.49	-0.00	0.16
20900	0.015	0.843	0.015	1	1	6.126	0.039	4.094	15.67	-1136.78	1.05	0.00
21000	0.012	0.716	0.012	1	1	10.468	0.036	4.094	17.03	-1136.79	0.00	-7.27
21100	0.013	0.698	0.013	1	1	8.549	0.012	4.094	17.91	-1136.78	-0.08	0.00
21200	0.012	1.102	0.012	1	1	11.439	0.012	3.845	14.23	-1136.80	-0.00	-0.69
21300	0.013	1.301	0.013	1	1	19.922	0.014	3.845	16.06	-1136.81	0.00	0.00
21400	0.009	0.916	0.009	1	1	21.139	0.010	3.845	15.36	-1136.81	0.00	0.69
21500	0.011	1.154	0.011	1	1	21.392	0.010	3.845	16.33	-1136.81	0.00	0.69
21600	0.012	1.162	0.012	1	1	31.852	0.007	3.845	16.99	-1136.83	-0.03	0.00
21700	0.010	0.723	0.010	1	1	38.838	0.003	3.923	18.03	-1136.85	0.00	0.00
21800	0.013	0.947	0.013	1	1	46.342	0.028	3.920	17.04	-1136.86	1.09	0.00
21900	0.012	0.744	0.012	1	2	46.235	0.028	3.920	15.09	-1137.60	-0.00	-0.69
22000	0.014	0.384	0.014	1	1	46.766	0.028	3.920	17.56	-1136.86	0.00	-7.21
22100	0.013	0.340	0.013	1	1	29.199	0.025	3.920	16.29	-1136.83	-0.00	-0.69
22200	0.012	0.293	0.012	1	1	37.261	0.024	3.920	17.85	-1136.84	-0.01	0.00
22300	0.014	0.415	0.014	1	1	18.439	0.021	4.146	16.75	-1136.81	1.06	0.00
22400	0.014	0.298	0.014	1	0	0.000	0.033	4.146	12.28	-1135.73	0.00	-12.06
22500	0.014	0.206	0.014	1	0	0.000	0.048	4.146	10.02	-1135.73	0.00	0.46
22600	0.016	0.327	0.016	1	0	0.000	0.024	4.146	12.44	-1135.73	-0.03	0.00
22700	0.017	0.017	0.017	0	1	25.272	0.037	4.146	9.87	-1136.45	0.00	0.00
22800	0.010	0.010	0.010	0	3	32.536	0.031	4.146	20.51	-1137.63	0.44	0.00
22900	0.009	0.009	0.009	0	3	45.032	0.029	3.921	24.02	-1137.68	0.45	0.00
23000	0.009	0.009	0.009	0	3	36.112	0.050	3.905	23.27	-1137.64	-0.00	0.00
23100	0.008	0.008	0.008	0	3	54.609	0.050	3.905	23.07	-1137.72	0.00	0.00
23200	0.006	0.006	0.006	0	3	34.138	0.050	3.905	23.10	-1137.63	0.00	0.00
23300	0.009	0.009	0.009	0	3	13.183	0.044	3.905	25.35	-1137.55	-0.00	0.00
23400	0.007	0.007	0.007	0	3	9.203	0.014	3.905	25.66	-1137.54	0.41	0.00
23500	0.008	0.008	0.008	0	4	13.976	0.014	3.905	24.59	-1137.86	-0.30	0.00
23600	0.009	0.009	0.009	0	4	9.171	0.012	3.905	25.34	-1137.83	0.00	0.00
23700	0.012	0.012	0.012	0	5	8.292	0.026	3.905	20.96	-1138.06	0.23	0.00
23800	0.006	0.006	0.006	0	6	10.615	0.026	3.987	22.44	-1138.27	0.19	0.00
23900	0.009	0.009	0.009	0	4	13.025	0.026	3.936	28.52	-1137.85	-0.24	0.00
24000	0.005	0.005	0.005	0	4	7.390	0.077	3.936	28.49	-1137.82	0.00	-8.11
24100	0.005	0.005	0.005	0	5	3.691	0.069	3.967	28.60	-1138.03	0.00	0.00
24200	0.004	0.004	0.004	0	5	1.942	0.069	3.967	28.56	-1138.02	-0.00	0.00
24300	0.006	0.006	0.006	0	8	0.296	0.061	3.967	30.63	-1138.48	0.00	0.00
24400	0.007	0.007	0.007	0	8	0.286	0.038	4.014	31.83	-1138.48	0.00	-7.84
24500	0.007	0.007	0.007	0	4	0.677	0.030	3.993	33.41	-1137.79	-0.22	0.00
24600	0.008	0.008	0.008	0	4	0.819	0.026	3.993	33.21	-1137.79	-0.00	0.00
24700	0.007	0.007	0.007	0	5	1.015	0.026	3.993	31.07	-1138.02	-0.18	0.00
24800	0.007	0.007	0.007	0	4	1.638	0.017	3.920	32.86	-1137.79	0.29	0.00
24900	0.009	0.009	0.009	0	4	0.512	0.017	4.067	31.89	-1137.79	0.00	-7.61
25000	0.006	0.006	0.006	0	6	0.308	0.006	3.946	33.69	-1138.19	-0.00	0.00
25100	0.006	0.006	0.006	0	9	0.249	0.006	3.946	35.06	-1138.60	0.00	0.00
25200	0.008	0.008	0.008	0	12	0.313	0.009	3.946	29.21	-1138.89	0.00	-7.71
25300	0.009	0.009	0.009	0	8	0.347	0.009	4.071	32.13	-1138.48	-0.00	0.00
25400	0.009	0.009	0.009	0	8	0.306	0.008	4.071	34.55	-1138.48	-0.00	0.00
25500	0.006	0.006	0.006	0	13	0.354	0.012	3.850	32.72	-1138.97	0.00	-8.01
25600	0.007	0.007	0.007	0	10	0.698	0.012	4.106	32.63	-1138.71	0.00	0.00
25700	0.008	0.008	0.008	0	5	0.441	0.019	3.811	33.99	-1138.01	0.00	0.00
25800	0.006	0.006	0.006	0	7	0.527	0.019	4.024	33.33	-1138.35	-0.15	0.00
25900	0.005	0.005	0.005	0	15	0.196	0.028	4.024	28.52	-1139.11	0.07	0.00
26000	0.008	0.008	0.008	0	16	0.098	0.007	4.024	29.87	-1139.17	0.00	0.00
26100	0.007	0.007	0.007	0	19	0.228	0.010	3.917	26.02	-1139.35	0.00	-7.85
26200	0.005	0.005	0.005	0	13	0.270	0.073	3.863	26.08	-1138.97	0.00	0.00
26300	0.004	0.004	0.004	0	13	0.304	0.067	3.863	28.60	-1138.97	-0.00	0.33
26400	0.005	0.005	0.005	0	12	0.585	0.049	3.863	28.61	-1138.89	0.00	-8.14
26500	0.006	0.006	0.006	0	11	0.496	0.032	3.863	33.47	-1138.80	0.00	0.00
26600	0.003	0.003	0.003	0	12	0.540	0.074	3.863	36.40	-1138.89	0.00	-8.55
26700	0.003	0.003	0.003	0	14	0.215	0.049	3.863	31.86	-1139.04	0.00	-0.09
26800	0.005	0.005	0.005	0	12	0.425	0.045	3.863	37.16	-1138.89	0.00	0.00
26900	0.005	0.005	0.005	0	12	0.324	0.070	3.863	28.49	-1138.89	0.00	0.00
27000	0.003	0.003	0.003	0	10	0.322	0.060	3.863	31.17	-1138.71	0.00	0.00
27100	0.006	0.006	0.006	0	8	1.450	0.036	3.876	33.27	-1138.49	-0.00	0.20
27200	0.008	0.008	0.008	0	8	0.547	0.030	3.876	33.25	-1138.48	-0.00	0.00
27300	0.007	0.007	0.007	0	10	1.819	0.040	3.876	24.21	-1138.72	-0.11	0.00
27400	0.008	0.008	0.008	0	7	0.417	0.042	3.876	30.58	-1138.35	-0.00	0.00
27500	0.006	0.006	0.006	0	9	0.192	0.013	4.139	24.12	-1138.60	0.00	0.00
27600	0.010	0.010	0.010	0	7	0.490	0.004	4.137	25.80	-1138.35	-0.00	0.00
27700	0.009	0.009	0.009	0	5	0.350	0.004	3.691	30.15	-1138.01	-0.00	0.00
27800	0.005	0.005	0.005	0	8	0.132	0.051	4.010	30.84	-1138.48	0.00	0.00
27900	0.008	0.008	0.008	0	6	0.570	0.051	4.010	31.22	-1138.20	0.00	-7.65
28000	0.008	0.008	0.008	0	7	0.194	0.014	4.010	31.75	-1138.35	0.00	0.00
28100	0.006	0.006	0.006	0	7	0.111	0.014	4.075	29.43	-1138.35	0.00	-7.95
28200	0.008	0.008	0.008	0	6	0.480	0.014	3.923	33.98	-1138.19	0.00	-7.71
28300	0.008	0.008	0.008	0	7	0.537	0.014	3.923	31.04	-1138.35	0.00	0.00
28400	0.008	0.008	0.008	0	4	0.905	0.014	3.923	33.66	-1137.79	0.00	0.00
28500	0.007	0.007	0.007	0	5	1.503	0.020	3.923	31.33	-1138.02	-0.00	0.00
